ip,timestamp,req_count,auth_fail_count,rapid_req_count,large_payload_count,xss_hits,sqli_hits,get_requests,avg_response_time,label
::1,2025-12-30 10:34:30+00:00,7,0,6,0,0,7,0,1.2857142857142858,normal
::1,2025-12-30 10:34:40+00:00,10,0,10,0,0,10,0,0.6,normal
::1,2025-12-30 10:34:50+00:00,10,0,10,0,0,10,0,0.7,normal
::1,2025-12-30 10:35:00+00:00,10,0,10,0,0,10,0,0.4,normal
::1,2025-12-30 10:35:10+00:00,9,0,9,0,0,9,0,0.4444444444444444,normal
::1,2025-12-30 10:35:20+00:00,10,0,10,0,0,10,0,0.4,normal
::1,2025-12-30 10:35:30+00:00,10,0,10,0,0,10,0,0.5,normal
::1,2025-12-30 10:35:40+00:00,10,0,10,0,0,10,0,0.3,normal
::1,2025-12-30 10:35:50+00:00,10,0,10,0,0,10,0,0.1,normal
::1,2025-12-30 10:36:00+00:00,10,0,10,0,0,10,0,0.6,normal
::1,2025-12-30 10:36:10+00:00,10,0,10,0,0,10,0,0.4,normal
::1,2025-12-30 10:36:20+00:00,10,0,10,0,0,10,0,0.6,normal
::1,2025-12-30 10:36:30+00:00,9,0,9,0,0,9,0,0.4444444444444444,normal
::1,2025-12-30 10:36:40+00:00,10,0,10,0,0,10,0,0.5,normal
::1,2025-12-30 10:36:50+00:00,10,0,10,0,0,10,0,0.4,normal
::1,2025-12-30 10:37:00+00:00,10,0,10,0,0,10,0,0.2,normal
::1,2025-12-30 10:37:10+00:00,10,0,10,0,0,10,0,0.5,normal
::1,2025-12-30 10:37:20+00:00,10,0,10,0,0,10,0,0.5,normal
::1,2025-12-30 10:37:30+00:00,10,0,10,0,0,10,0,0.4,normal
::1,2025-12-30 10:37:40+00:00,10,0,10,0,0,10,0,0.3,normal
::1,2025-12-30 10:37:50+00:00,5,0,5,0,0,5,0,0.4,normal
::1,2025-12-30 10:42:10+00:00,300,300,299,0,0,300,0,0.4533333333333333,sql_injection
::1,2025-12-30 11:04:50+00:00,14,14,12,0,0,14,0,0.7142857142857143,sql_injection
::1,2025-12-30 11:05:00+00:00,21,21,18,0,0,21,0,0.23809523809523808,sql_injection
::1,2025-12-30 11:05:10+00:00,21,21,18,0,0,21,0,0.19047619047619047,sql_injection
::1,2025-12-30 11:05:20+00:00,14,14,12,0,0,14,0,0.5,sql_injection
::1,2025-12-30 11:14:30+00:00,5,5,0,5,5,5,0,1.6,xss
::1,2025-12-30 11:14:40+00:00,5,5,0,5,5,5,0,1.0,xss
::1,2025-12-30 11:14:50+00:00,2,2,0,2,2,2,0,0.5,xss
::1,2025-12-30 11:15:00+00:00,5,5,0,5,5,5,0,0.4,xss
::1,2025-12-30 11:15:10+00:00,3,3,0,3,3,3,0,0.0,xss
::1,2025-12-30 11:19:40+00:00,1,0,0,0,0,1,1,0.0,brute_force
::1,2025-12-30 11:22:40+00:00,1,0,0,0,0,1,1,1.0,brute_force
::1,2025-12-31 05:18:40+00:00,2,0,0,0,0,2,0,7.0,brute_force
::1,2025-12-31 05:18:50+00:00,3,0,0,0,0,3,0,1.6666666666666667,brute_force
::1,2025-12-31 05:19:00+00:00,4,0,0,0,0,4,0,1.25,brute_force
::1,2025-12-31 05:19:10+00:00,3,0,0,0,0,3,0,1.0,brute_force
::1,2025-12-31 05:19:20+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 05:19:30+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 05:19:40+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 05:19:50+00:00,3,0,0,0,0,3,0,0.6666666666666666,brute_force
::1,2025-12-31 05:20:00+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:20:10+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2025-12-31 05:20:20+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:20:30+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:20:40+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:20:50+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:21:00+00:00,4,0,0,0,0,4,0,0.75,normal
::1,2025-12-31 05:21:10+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:21:20+00:00,2,0,0,0,0,2,0,0.0,normal
::1,2025-12-31 05:21:30+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:21:40+00:00,4,0,0,0,0,4,0,0.25,normal
::1,2025-12-31 05:21:50+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:22:00+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:22:10+00:00,4,0,0,0,0,4,0,0.25,normal
::1,2025-12-31 05:22:20+00:00,3,0,0,0,0,3,0,1.0,normal
::1,2025-12-31 05:22:30+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:22:40+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:22:50+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:23:00+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:23:10+00:00,4,0,0,0,0,4,0,0.75,normal
::1,2025-12-31 05:23:20+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:23:30+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:23:40+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:23:50+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:24:00+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:24:10+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2025-12-31 05:24:20+00:00,4,0,0,0,0,4,0,0.75,normal
::1,2025-12-31 05:24:30+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:24:40+00:00,2,0,0,0,0,2,0,0.0,normal
::1,2025-12-31 05:24:50+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:25:00+00:00,5,0,0,0,0,5,0,0.4,normal
::1,2025-12-31 05:25:10+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:25:20+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:25:30+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:25:40+00:00,4,0,0,0,0,4,0,0.25,normal
::1,2025-12-31 05:25:50+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:26:00+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:26:10+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:26:20+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:26:30+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:26:40+00:00,3,0,0,0,0,3,0,1.0,normal
::1,2025-12-31 05:26:50+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:27:00+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:27:10+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:27:20+00:00,4,0,0,0,0,4,0,0.5,normal
::1,2025-12-31 05:27:30+00:00,3,0,0,0,0,3,0,0.0,normal
::1,2025-12-31 05:27:40+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:27:50+00:00,4,0,0,0,0,4,0,0.0,normal
::1,2025-12-31 05:28:00+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
::1,2025-12-31 05:28:10+00:00,3,0,0,0,0,3,0,0.6666666666666666,normal
::1,2025-12-31 05:28:20+00:00,3,0,0,0,0,3,0,0.3333333333333333,normal
