timestamp,ip,method,url,status,payloadSize,payloadSnippet,userAgent,responseTimeMs,time_delta,auth_fail,rapid_request,large_payload,is_get,xss_pattern,sqli_pattern,fail_rolling,label
2025-12-30 10:34:33.496000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,5,999.0,0,0,0,0,0,1,,normal
2025-12-30 10:34:34.514000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.018,0,1,0,0,0,1,,normal
2025-12-30 10:34:35.534000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.02,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:36.548000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.014,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:37.559000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,0,1.011,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:38.571000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,0,1.012,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:39.585000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.014,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:40.596000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,0,1.011,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:41.610000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.014,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:42.622000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.012,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:43.635000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.013,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:44.647000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,0,1.012,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:45.666000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.019,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:46.680000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,0,1.014,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:47.692000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.012,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:48.705000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.013,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:49.721000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,0,1.016,0,1,0,0,0,1,0.0,normal
2025-12-30 10:34:50.734000+00:00,::1,POST,/api/auth/login,200,42,"{""username"":""admin"",""password"":""admin123""}",curl/8.17.0,1,1.013,0,1,0,0,0,1,0.0,normal
